Gene	090317_0121166	090318_0121167	090319_0121168	090320_0121169	090321_0121170	090322_0121171	090323_0121172	090324_0121173	090325_0121174	090326_0121175	090327_0121176	090328_0121177	090329_0121178	090330_0121179	090331_0121180	090332_0121181	090333_0121182	090334_0121183	090335_0121184	090336_0121185	090337_0121186	090338_0121187	090339_0121188	090340_0121189	090341_0121190	090342_0121191	090343_0121192	090344_0121193	090345_0121194	090346_0121195	090347_0121196	090348_0121197	090349_0121198	090350_0121199	090351_0121200	090352_0121201	090353_0121202	090354_0121203	090355_0121204	090356_0121205	090357_0121206	090358_0121207	090359_0121208	090360_0121209	090361_0121210	090362_0121211	090363_0121212	090364_0121213	090365_0121214	090366_0121215		MaxL2T	MinL2T	Max-Min	Max-Min/Min+1	coeff of var	#samples_zero
S100G	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1.6	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	2.3	0	0		2.3	0	2.3	2.3	2.165677579	40
SLC47A1	0	0	0	0	0	0	1	0	1.6	0	0	0	0	0	0	0	0	1	1	0	0	0	2.3	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1		2.3	0	2.3	2.3	2.165677579	40
EML5	0	0	1	0	0	0	0	1	2.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0		2.3	0	2.3	2.3	2.165495431	40
EIF4EBP3	1	0	0	0	1	0	2.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1.6	0	1	1	1.6	0	0	1	0	0	0	0	0	1		2.3	0	2.3	2.3	2.159742993	40
H4C4	0	0	0	0	1	1.6	0	0	0	0	0	1	0	0	0	0	1.6	0	0	2	0	0	2.8	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1.6	1	0	0	0	0	0	1.6	0	0		2.8	0	2.8	2.8	2.152434307	40
SCGB3A1	0	0	0	1	0	2.3	0	1	0	0	0	0	0	0	0	0	0	2.6	0	0	0	0	0	0	0	1	0	0	0	1.6	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0		2.6	0	2.6	2.6	2.113352164	39
KCNJ5	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	2.6	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0		2.6	0	2.6	2.6	2.089431047	39
C1QTNF4	0	1	1	0	0	1.6	0	0	0	2.6	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0		2.6	0	2.6	2.6	2.084225648	39
H4-16	0	0	0	1	0	0	2.6	0	0	0	0	0	1	0	0	0	2	0	2.6	0	2	0	0	1	0	0	0	0	0	0	0	0	2.8	0	0	1.6	0	0	0	0	0	0	0	0	0	1	2	0	0	0		2.8	0	2.8	2.8	2.069149428	39
LIMS3	1.6	1.6	0	0	5.2	0	1.6	0	0	3.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2.3	0	0	0	2	0	0	2	0	0	0	5.1	0	0	0	2.8	3.8	0	0	0		5.2	0	5.2	5.2	2.068508138	38
CABP4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2.3	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	1	1	0	0		2.3	0	2.3	2.3	2.033698016	39
HMX3	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	2.3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0		2.3	0	2.3	2.3	2.033698016	39
SPDYE5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2.3	1	0	0	0	1	0	1.6	1	0	0	1	0	0	1	0	1	1.6	0	0	0	0	0	0	0	0	0	1		2.3	0	2.3	2.3	2.033082122	39
H2AC14	1.6	1	0	0	0	0	0	0	0	0	0	0	2.3	0	0	0	0	1	1	1	0	0	3.7	2	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	2.3	0	0	0	0	0	0	0	1	0	0		3.7	0	3.7	3.7	2.024607664	38
PGBD3	0	0	2.6	0	0	0	2.8	0	3.2	0	0	0	0	0	1.6	0	0	3.3	0	0	0	0	3.3	0	0	0	0	0	0	0	0	0	0	1.6	0	0	0	0	0	0	0	0	1.6	0	1.6	2	0	0	1.6	0		3.3	0	3.3	3.3	2.018634172	39
H2AC17	0	0	2.3	1.6	0	0	0	0	0	0	0	0	0	2.6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	1	1.6	0	0	1.6	0	0	1.6		2.6	0	2.6	2.6	1.987530442	39
C6orf58	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2.6	0	0	0	0	0	1	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0		2.6	0	2.6	2.6	1.969418764	38
HSD17B13	1	0	0	0	1	1.6	0	0	2.6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0		2.6	0	2.6	2.6	1.966742912	38
SPDYE18	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	2.6	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	1	0	1.6	0	0	0	0		2.6	0	2.6	2.6	1.966742912	38
SCRG1	0	0	1	0	0	0	1.6	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	2.3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0		2.3	0	2.3	2.3	1.921767395	38
NANOG	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	2.3	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0		2.3	0	2.3	2.3	1.917842246	38
HBD	2	0	0	0	1	1	0	0	0	0	2.8	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1.6	0	0	0	0		2.8	0	2.8	2.8	1.899514031	37
LRRC69	0	0	0	0	0	0	2	0	3	0	0	0	0	1.6	0	0	0	0	1	0	1.6	1	0	0	0	0	1.6	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0		3	0	3	3	1.896813572	37
COX6B2	0	1	0	0	0	0	1	0	0	2.8	0	0	0	0	0	0	0	0	1.6	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0		2.8	0	2.8	2.8	1.892984374	37
APOM	1	1	0	0	0	0	0	1	0	0	2.6	0	0	0	0	0	0	1	0	1.6	0	1.6	2.8	0	0	0	0	0	0	0	0	0	0	0	1.6	2.3	0	0	0	0	0	0	0	0	0	1.6	1.6	0	0	1		2.8	0	2.8	2.8	1.862081973	37
PRR5-ARHGAP8	1	0	0	0	0	0	1.6	0	0	0	2.3	0	1	1	0	2	0	1	0	0	0	1	0	0	0	1.6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	1		2.3	0	2.3	2.3	1.83832131	37
GOLGA8N	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1.6	2.3	1	0	1.6	1.6	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1		2.3	0	2.3	2.3	1.817678668	37
MAMSTR	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	2.3	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0		2.3	0	2.3	2.3	1.814789185	37
ABHD14A-ACY1	0	0	0	0	1.6	0	0	2	0	0	0	3	0	1	1	0	0	0	1.6	2	1.6	0	0	0	0	0	0	1.6	0	0	1	0	0	2.8	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1		3	0	3	3	1.797867556	36
FBXO43	0	1	0	1	0	0	0	1	2.8	0	0	0	1	0	0	1.6	0	1	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1		2.8	0	2.8	2.8	1.796875969	36
TAS2R19	1	0	1.6	0	1.6	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	2.8	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0		2.8	0	2.8	2.8	1.795826746	36
H2AC11	0	1.6	1	1	0	0	2.3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2.6	0	0	0	2	1.6	1	0	3.2	0	0	0	0	0	0	1.6	0	0	0	1	0	0	0	0	2		3.2	0	3.2	3.2	1.781837972	36
S100A1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	2.6	0	0	0	1	0	2	1	0	0	0	0	1.6	0	1	1.6	0	1		2.6	0	2.6	2.6	1.774409668	36
AKR7A3	0	0	0	0	0	1.6	0	0	0	0	0	0	0	0	0	2.6	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1.6	1.6	1	0	0	1	1	0	0	0	1	0		2.6	0	2.6	2.6	1.760160096	36
CEMP1	1.6	0	0	0	0	2.3	0	0	2.8	0	5.2	0	0	0	0	0	0	1.6	0	0	1	0	1.6	0	0	0	2.6	3.2	0	0	0	0	2	0	0	0	0	0	0	0	2.3	0	0	3.2	0	0	0	3.6	1	1.6		5.2	0	5.2	5.2	1.755506761	35
DMRTC1	0	0	1	0	0	1	0	0	0	1.6	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	2	0	0	1	0	0	0	1	0	0	1	0	0	2.3	0	0	2	1.6	0	0	0	1		2.3	0	2.3	2.3	1.749252049	36
TSGA13	0	0	0	1	1	0	0	1	3	1	0	1	0	1	0	1.6	1	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		3	0	3	3	1.739211499	35
KCNQ1	0	0	0	1	0	0	0	1	2.3	0	0	1.6	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1.6	0	0	0	0	1	0	1	1	0	0	0	1		2.3	0	2.3	2.3	1.729706755	36
S100P	0	0	0	2	0	0	1	0	0	0	0	0	0	2.8	0	0	0	1	0	1	0	0	0	2.3	0	1.6	0	0	2.8	0	0	0	0	1	0	2.3	0	1	0	1.6	0	1	2.6	0	0	0	0	0	1	0		2.8	0	2.8	2.8	1.72945668	35
FAM151A	0	1	1	0	0	0	1.6	0	3	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	1	1.6	0	0	0	1	0	0	0	0	0	0	0	1.6	0	1	0	1	0	2.3	0	1		3	0	3	3	1.728323513	35
CDC14C	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1.6	1	0	0	0	0	0	0	2.3	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	1	1	0		2.3	0	2.3	2.3	1.727884511	36
RNF103-CHMP3	1	0	0	0	0	1.6	1.6	1.6	0	0	0	0	0	0	2.6	0	1	1	0	0	1.6	1	0	0	1	0	0	0	0	0	0	0	1.6	0	1.6	0	0	0	1.6	0	0	0	0	0	1.6	0	0	0	0	0		2.6	0	2.6	2.6	1.712353133	36
ANKRD33	1	0	0	1	0	0	1	0	2.8	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1.6	0	0	0	0	0	1	0	1	0	1	0	1.6	0		2.8	0	2.8	2.8	1.705887719	35
LIPI	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2.6	0	0	1	0	2	1	0	1.6	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	1	0	0		2.6	0	2.6	2.6	1.696936668	35
SPTY2D1OS	0	0	1	1	0	0	1	0	0	0	0	0	3.2	0	0	0	1	0	1.6	0	0	1	3.2	1	0	0	1.6	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0		3.2	0	3.2	3.2	1.683861799	33
GRAPL	1.6	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2.6	1	0	2	0	0	0	0	0	0	0	0	0	0	2	2.3	0	2.3	2.6	0	1	0	0	1	1	0	0	0	0	0	1.6		2.6	0	2.6	2.6	1.683533699	35
CLEC4G	0	1	0	1	0	0	0	0	2.6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1.6		2.6	0	2.6	2.6	1.681929576	35
OR1D2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	2.6	1	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1		2.6	0	2.6	2.6	1.680280203	35
NPIPB12	0	0	0	0	0	3	0	0	0	3	0	0	0	0	3.3	0	0	0	3.2	0	0	0	0	0	0	0	0	1.6	0	3.7	0	0	0	0	0	0	3.5	3.3	0	0	0	0	3.5	1.6	0	3.6	0	3.2	2.3	3.3		3.7	0	3.7	3.7	1.673250717	36
CCL1	0	2	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	2.6	1.6	0	1	0	0	1.6	0	1	1	0	0	0	0	0	2	0	0	0	1.6	0	1.6	0	0	0	0	0	1	0	0	0	0	0		2.6	0	2.6	2.6	1.672556579	35
CRYGS	1.6	0	0	0	0	1	0	0	0	2.6	0	0	0	2	0	1.6	0	1	0	0	1.6	1	0	0	0	0	0	0	0	2	0	1	1	1	0	0	1.6	0	0	1	0	0	0	0	0	0	0	1	0	0		2.6	0	2.6	2.6	1.672556579	35
KCNRG	1	1	0	0	0	0	1	0	0	1.6	0	0	0	0	0	0	0	0	0	1	1	0	0	1.6	0	0	0	0	0	0	1	1	0	0	0	2.3	0	0	1	0	1	0	0	1	0	2	0	0	1	0		2.3	0	2.3	2.3	1.663595407	35
SAXO2	1	0	0	0	0	0	0	0	0	0	2.3	0	0	0	0	0	2.6	0	0	0	1	1	1	0	1.6	2.6	0	0	0	0	1	1	0	1	1	1.6	0	0	0	1	0	0	1	1	0	0	0	0	0	0		2.6	0	2.6	2.6	1.662593912	34
GAS2	0	0	0	1	1	0	0	1	2.3	0	0	0	0	0	1	0	0	1	0	0	1	0	1.6	0	0	0	0	0	1.6	1	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0		2.3	0	2.3	2.3	1.647129696	35
LEAP2	0	0	1	1.6	1	0	1	0	0	0	0	0	1.6	0	0	0	0	1	0	0	1	1	2.3	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0		2.3	0	2.3	2.3	1.647129696	35
PHYHIPL	0	1	1.6	0	1	0	0	0	2.3	1	0	1	0	0	0	0	0	0	0	0	0	0	1.6	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1.6	1	0	1	1	0	0	0	0		2.3	0	2.3	2.3	1.646986499	35
NNMT	1	0	0	0	0	0	0	0	0	0	0	2.3	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	1.6	0	1	1	0	1	1	0	0	0	0	1	1	0	1		2.3	0	2.3	2.3	1.644434733	35
TAS2R14	0	0	1.6	1	0	1	2.3	0	0	0	0	0	1	1	0	0	0	0	0	0	1.6	1	0	0	0	0	0	0	0	0	0	1	1	1.6	0	0	0	1	0	0	1.6	0	0	0	0	0	0	0	1	1.6		2.3	0	2.3	2.3	1.640165258	35
PI3	2.3	0	0	1	0	0	1.6	0	0	0	0	0	0	1.6	0	0	1	1	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1.6	1	0	0	1.6	0	0	0	0	0	0	0	1.6	0		2.3	0	2.3	2.3	1.640165258	35
LRRC43	0	1	0	1	0	1	1	0	2.3	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0		2.3	0	2.3	2.3	1.638245235	35
MTRNR2L3	0	0	0	1	1.6	1.6	1	1	3.6	0	1	1.6	1.6	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0		3.6	0	3.6	3.6	1.632134577	33
CDKN2C	0	0	1	1	0	0	0	1	2.6	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1	1	1.6	0	0		2.6	0	2.6	2.6	1.603601262	34
CD244	0	0	0	0	0	0	1	0	3.6	0	1	0	0	0	0	1.6	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	1	0	1.6	0	0	1	1	1	1		3.6	0	3.6	3.6	1.590901032	32
TRIM7	0	0	0	0	1	1	1.6	0	0	2.3	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1.6	1	2	1		2.3	0	2.3	2.3	1.588451729	34
HSFX4	0	0	0	0	1	0	0	1.6	0	0	1.6	1	0	2	1	0	1	0	0	0	0	0	0	0	0	0	1.6	1	0	1.6	0	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	2.3	0		2.3	0	2.3	2.3	1.579789889	34
ATP5MF-PTCD1	0	0	0	0	0	0	0	2	3	2.8	0	0	1	0	0	1.6	0	1.6	1.6	0	0	0	2	0	1	0	1.6	0	1	0	0	0	0	0	0	0	0	0	0	0	2.6	0	2.3	2	1.6	0	0	0	2	0		3	0	3	3	1.577949185	34
CCL5	0	0	0	0	0	1	1	1	2.6	0	0	0	0	0	0	1.6	0	0	1	0	1.6	0	0	1	0	1.6	0	0	0	0	1.6	0	0	0	1.6	1.6	1.6	0	0	0	1	0	1	0	0	0	0	1	0	0		2.6	0	2.6	2.6	1.577346898	34
CALHM6	1	1.6	1	1	0	1	0	1	0	0	0	0	0	0	1	0	1	1	1	2.3	1.6	0	0	0	0	1	0	0	0	0	1.6	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0		2.3	0	2.3	2.3	1.572184699	34
GHRL	0	0	1.6	0	1	0	0	0	0	0	0	0	0	1	2.3	0	1	0	2.3	2.6	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1.6	1.6	1.6	1	0	0	0	0	0	0	1		2.6	0	2.6	2.6	1.556314117	33
TNFRSF11B	0	1	0	0	0	1	0	0	2.6	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	1	0	1	1	0	1	0	0	1	1	1	0		2.6	0	2.6	2.6	1.5494468	33
CYP11A1	0	0	1	1	1	0	0	0	3.2	0	0	1	1	0	1	1	1	1	1	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0		3.2	0	3.2	3.2	1.544545389	32
SNAI3	0	0	1	0	1	2.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	1	1	0	2	1	0	1	0	1	0	1	0	0	0	1	1	1	0	0	1.6	0	0	0	0		2.3	0	2.3	2.3	1.532755001	33
SPDYE13	0	0	0	1	1	0	1.6	1.6	2.3	0	0	1.6	0	0	0	2	0	1	0	0	0	0	2.6	1.6	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1.6	1	0	0	0	1	0	0	1.6	0	0	1		2.6	0	2.6	2.6	1.526232802	33
LY6H	2	0	0	0	0	1	0	1	4	0	0	1	0	0	0	1	0	2.6	1.6	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	1	1	0	0	0	2	1	1	0	0	1	0	1	0	1		4	0	4	4	1.520462783	30
ATP5MGL	2.3	1	1	0	0	0	1.6	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	2	1	1	0	0	0	1	0	1	0	0	1	1	0	1	0		2.3	0	2.3	2.3	1.519870587	33
SPI1	0	0	0	0	0	0	1.6	0	0	1	0	0	1	2.3	1	1.6	0	0	0	0	0	0	0	1.6	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	1	1	0	0	1	0	0	1		2.3	0	2.3	2.3	1.503068072	33
NBL1	1	1.6	1	0	1	0	0	0	0	2.3	0	1.6	1	0	1	0	0	1.6	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1.6	1	0	0	1	1	0	0	0	0	0	0	1	0	0	1.6		2.3	0	2.3	2.3	1.500317506	33
ABCC6	1.6	0	0	1	0	0	1	0	4.3	0	0	0	0	0	0	0	0	0	1	0	0	1.6	0	1	0	0	1	0	0	2	0	0	1	0	1	2	0	1	0	1	0	0	1	1.6	0	1	0	1.6	1	1.6		4.3	0	4.3	4.3	1.499000587	30
ERICH6	1	0	0	0	0	0	0	1	3.3	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	1	0	1	0	0	1	0	1	1	1	0	0	0	0	1	0	1	1	0	0	1		3.3	0	3.3	3.3	1.492803172	31
PCDHA7	1	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2.3	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	1	1	0		2.3	0	2.3	2.3	1.491012421	33
H1-5	1.6	0	0	1	1	1	1.6	0	0	0	0	0	2.6	0	0	1	0	0	2	0	0	1	0	1	2.3	0	0	0	0	0	1.6	0	1	0	0	0	0	0	1	1	2	1	0	0	0	0	0	1	0	0		2.6	0	2.6	2.6	1.489460199	32
ACTL10	0	0	0	0	0	1	1.6	1	0	1	0	1	0	1	2	0	0	0	1	0	0	1	2.3	1	0	0	0	0	1.6	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1		2.3	0	2.3	2.3	1.454413564	32
MS4A6A	1	0	0	0	0	1.6	1.6	1	0	0	0	0	0	1.6	0	0	1	2.3	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	1	0	1	0	1	1.6		2.3	0	2.3	2.3	1.439022456	32
MIOX	0	1	1.6	0	0	0	0	0	0	0	1.6	0	0	0	0	0	0	1	1	0	1	0	2.3	1	1	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	1.6	0	0	1	1	1	0	0	0	0		2.3	0	2.3	2.3	1.438858571	32
PWP2	1.6	0	2.6	2.3	0	0	0	0	4	0	0	0	2.3	0	2.8	0	0	0	1.6	0	2	2	0	1	0	1.6	0	0	0	0	2.3	0	0	0	0	0	0	2	0	0	0	2	0	0	0	2.3	1.6	0	1.6	2.3		4	0	4	4	1.436819727	32
LGALS2	1	0	1	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1.6	0	0	0	0	2.6	2	0	1	0	0	0	1	1	0	2	1	1	1	0	1	1	1	0	0	0	0	0	1	0	0	0		2.6	0	2.6	2.6	1.434098026	31
MT1E	0	0	0	2	1.6	0	0	0	0	0	0	0	2.3	1.6	0	1.6	0	0	0	0	0	1	2.8	1	0	0	0	0	1	0	2	0	0	2	0	0	0	0	1.6	1	1	1	2	0	0	1.6	0	1	0	1		2.8	0	2.8	2.8	1.409922185	31
